name,ra,dec
Celestial Lance,"[221.24676, 218.67, 218.67, 217.9575]","[27.074222, 29.74513, 29.74513, 30.371437]"
Curved Array,"[343.601835, 17.184195, 17.184195, 37.94625, 37.94625, 263.05377, 263.05377, 251.49238499999998, 251.49238499999998, 236.014485]","[84.346177, 86.25709, 86.25709, 89.264109, 89.264109, 86.58646, 86.58646, 82.037262, 82.037262, 77.794493]"
Lock (Vassal of Room),"[241.70177999999999, 241.85136, 241.70177999999999, 241.35930000000002]","[-20.669192, -20.868764, -20.669192, -19.805453]"
Dog,"[294.17679, 291.318705]","[-24.883623, -24.508575]"
Territory of Dog,"[298.959765, 299.73832500000003, 299.73832500000003, 300.66448499999996, 300.66448499999996, 299.2368, 299.2368, 298.959765]","[-26.299506, -26.195767, -26.195767, -27.709845, -27.709845, -27.169899, -27.169899, -26.299506]"
Coiled Thong,"[235.99710000000002, 233.23243499999998, 233.23243499999998, 231.95727, 231.95727, 233.67192, 233.67192, 235.68571500000002, 235.68571500000002, 237.39855, 237.39855, 239.39691000000002, 239.39691000000002, 240.360705, 240.360705, 240.26118]","[32.515807, 31.359133, 31.359133, 29.105703, 29.105703, 26.714693, 26.714693, 26.295637, 26.295637, 26.068394, 26.068394, 26.87788, 26.87788, 29.851061, 29.851061, 33.303509]"
Beacon Fire,"[122.61327, 125.1339, 125.1339, 126.61545, 126.61545, 123.28694999999999]","[25.507334, 24.022314, 24.022314, 27.893583, 27.893583, 29.656536]"
Tortoise,"[254.89603499999998, 261.34858499999996, 261.34858499999996, 262.77477, 262.77477, 252.4464, 252.4464, 254.65509]","[-53.160438, -56.377727, -56.377727, -60.683848, -60.683848, -59.041378, -59.041378, -55.990141]"
Sea and Mountain,"[156.969735, 161.18762999999998, 161.18762999999998, 174.09322500000002, 174.09322500000002, 173.945445, 173.945445, 176.402115]","[-58.739403, -59.56519, -59.56519, -61.052433, -61.052433, -63.019841, -63.019841, -66.728763]"
Sea Rock,"[125.62853999999999, 139.27257, 139.27257, 143.611065, 143.611065, 146.311755, 146.311755, 146.77554]","[-59.509483, -59.275229, -59.275229, -59.229753, -59.229753, -62.507903, -62.507903, -65.072007]"
Military Gate,[],[]
Drum at the River,"[298.828305, 297.69582, 297.69582, 296.56491000000005]","[6.406763, 8.868322, 8.868322, 10.613261]"
Crane,"[332.058135, 340.666725, 340.666725, 342.13858500000003, 342.13858500000003, 341.407785, 341.407785, 349.35747, 349.35747, 345.220155, 345.220155, 340.666725, 340.666725, 347.5896, 340.666725, 346.71975000000003, 340.666725, 340.87489500000004, 340.87489500000004, 337.163355, 340.666725, 337.439325, 337.439325, 333.903795]","[-46.960975, -46.884577, -46.884577, -51.316864, -51.316864, -53.500121, -53.500121, -58.235734, -58.235734, -52.754137, -52.754137, -46.884577, -46.884577, -45.246711, -46.884577, -43.520358, -46.884577, -41.414347, -41.414347, -39.131792, -46.884577, -43.749224, -43.749224, -41.3467]"
Railings,"[207.37617, 207.404145, 207.404145, 209.56779, 209.56779, 211.51155]","[-41.687709, -42.473732, -42.473732, -42.100753, -42.100753, -41.179633]"
Astrologer,"[263.733615, 263.733615]","[12.560035, 12.560035]"
Bow and Arrow,"[107.097855, 111.02376, 111.02376, 116.313735, 116.313735, 119.417115, 119.417115, 117.02154, 117.02154, 114.70778999999999, 114.70778999999999, 111.02376, 111.02376, 104.656455, 104.656455, 102.460245, 102.460245, 109.285665, 109.285665, 116.313735]","[-26.3932, -29.303104, -29.303104, -37.968584, -37.968584, -30.33457, -30.33457, -25.937169, -25.937169, -26.803836, -26.803836, -29.303104, -29.303104, -28.972084, -28.972084, -32.508478, -32.508478, -37.09747, -37.09747, -37.968584]"
Dipper for Solids,"[253.50196499999998, 254.417085, 254.417085, 252.58075499999998, 252.58075499999998, 251.457885]","[10.165359, 9.375033, 9.375033, 7.247683, 7.247683, 8.582616]"
Emperor's Bodyguard,"[168.800955, 168.800955]","[23.095502, 23.095502]"
Good Gourd,"[311.6646, 309.909525, 309.909525, 309.38724, 309.38724, 310.864725, 310.864725, 311.6646, 309.38724, 308.82723]","[16.124296, 15.912072, 15.912072, 14.595087, 14.595087, 15.074581, 15.074581, 16.124296, 14.595087, 14.674213]"
Canopy of the Emperor,"[22.806659999999997, 24.62889, 22.806659999999997, 19.049580000000002, 22.806659999999997, 17.663684999999997, 22.806659999999997, 21.48312, 22.806659999999997, 25.585320000000003, 22.806659999999997, 29.000055]","[70.264604, 73.04004, 70.264604, 71.743842, 70.264604, 68.778621, 70.264604, 68.130012, 70.264604, 68.043021, 70.264604, 68.685242]"
Eunuch Official,"[255.78278999999998, 255.913755, 255.913755, 256.34454, 256.34454, 258.115875]","[14.091947, 13.605346, 13.605346, 12.740828, 12.740828, 10.585168]"
Firebird,"[353.24268, 353.768985, 353.768985, 354.462405, 354.462405, 2.35254, 2.35254, 6.55074, 6.55074, 6.5708400000000005, 6.5708400000000005, 10.33149, 10.33149, 7.85391, 7.85391, 16.521105, 16.521105, 22.091385]","[-37.818268, -42.615075, -42.615075, -45.492351, -45.492351, -45.747426, -45.747426, -43.679829, -43.679829, -42.305981, -42.305981, -46.085007, -46.085007, -48.803514, -48.803514, -46.718414, -46.718414, -43.318234]"
Cumulative Corpses,"[130.458675, 130.458675]","[19.87417, 19.87417]"
Heap of Corpses,"[44.69028, 44.69028]","[39.662728, 39.662728]"
Stored water,"[61.646024999999995, 61.646024999999995]","[50.351262, 50.351262]"
Pile of Firewood,"[116.111895, 116.111895]","[24.397993, 24.397993]"
Group of Soldiers,"[241.64811000000003, 240.03054]","[-36.802288, -38.396706]"
White Patches Attached,"[78.43932000000001, 63.60606]","[-67.185255, -62.473858]"
Establishment,"[284.432505, 286.17075, 286.17075, 287.440965, 287.440965, 289.40866500000004, 289.40866500000004, 290.418165, 290.418165, 290.431755]","[-21.106654, -21.741496, -21.741496, -21.023615, -21.023615, -18.952908, -18.952908, -17.847197, -17.847197, -15.955018]"
Clepsydra Terrace,"[283.62618, 282.51997500000004, 282.51997500000004, 284.735925, 284.735925, 286.825545]","[36.898613, 33.362667, 33.362667, 32.689557, 32.689557, 36.100157]"
Door Bolt,"[242.99889000000002, 242.99889000000002]","[-19.460708, -19.460708]"
Goldfish,"[64.00645499999999, 68.49897, 68.49897, 83.40631499999999, 83.40631499999999, 86.193345, 86.193345, 92.18464499999999]","[-51.486648, -55.044975, -55.044975, -62.489825, -62.489825, -65.735526, -65.735526, -68.843409]"
