name,ra,dec
Serpens,"[239.11323000000002, 237.184905, 237.184905, 235.38773999999998, 237.81629999999998, 237.184905, 237.184905, 236.546895, 236.546895, 233.700615, 233.700615, 236.06697, 236.06697, 237.704025, 275.32750500000003, 284.05492499999997]","[15.661617, 18.141564, 18.141564, 19.670401, 20.977919, 18.141564, 18.141564, 15.421826, 15.421826, 10.538867, 10.538867, 6.425627, 6.425627, 4.47773, -2.898825, 4.203595]"
Ophiuchus,"[254.417085, 263.733615, 263.733615, 265.868145, 265.868145, 266.973165, 266.973165, 269.75662500000004, 265.868145, 261.628665, 261.628665, 247.72843500000002, 247.72843500000002, 244.58036999999996, 244.58036999999996, 246.950775, 246.950775, 249.28974000000002, 249.28974000000002, 257.59452, 257.59452, 260.502405, 244.58036999999996, 243.58641000000003, 249.28974000000002, 247.784865, 247.784865, 248.034165, 243.58641000000003, 237.704025, 257.59452, 264.396675, 264.396675, 269.75662500000004, 269.75662500000004, 275.32750500000003]","[9.375033, 12.560035, 12.560035, 4.567303, 4.567303, 2.707276, 2.707276, -9.773632, 4.567303, 4.14036, 4.14036, 1.983923, 1.983923, -4.692511, -4.692511, -8.371731, -8.371731, -10.56709, -10.56709, -15.72491, -15.72491, -24.999545, -4.692511, -3.694323, -10.56709, -16.612733, -16.612733, -21.46639, -3.694323, 4.47773, -15.72491, -15.398557, -15.398557, -9.773632, -9.773632, -2.898825]"
Equuleus,"[317.58541499999995, 318.62005500000004, 318.62005500000004, 320.723385, 320.723385, 318.955965, 318.955965, 314.768655, 314.768655, 317.58541499999995]","[10.131579, 10.006981, 10.006981, 6.81114, 6.81114, 5.247845, 5.247845, 4.293481, 4.293481, 10.131579]"
Scutum,"[281.79363, 278.80177499999996, 278.80177499999996, 277.29939]","[-4.747867, -8.244073, -8.244073, -14.565813]"
Corona Australis,"[284.680815, 286.60456500000004, 286.60456500000004, 287.368035, 287.368035, 287.50731, 287.50731, 287.08734, 287.08734, 285.77860499999997, 285.77860499999997, 278.375745]","[-37.107357, -37.063437, -37.063437, -37.904474, -37.904474, -39.340796, -39.340796, -40.496703, -40.496703, -42.095105, -42.095105, -42.31251]"
Lupus,"[230.343015, 230.4516, 230.4516, 234.94158000000002, 234.94158000000002, 237.73974, 237.73974, 240.03054, 240.03054, 233.785215, 233.785215, 230.67031500000002, 230.67031500000002, 227.98377000000002, 227.98377000000002, 228.0714, 228.0714, 220.482345, 220.482345, 224.63305499999998, 224.63305499999998, 230.343015]","[-40.647518, -36.261376, -36.261376, -34.411926, -34.411926, -33.627165, -33.627165, -38.396706, -38.396706, -41.166757, -41.166757, -44.689622, -44.689622, -48.737819, -48.737819, -52.099247, -52.099247, -47.3882, -47.3882, -43.13396, -43.13396, -40.647518]"
Columba,"[95.52846, 89.38420500000001, 89.38420500000001, 87.739935, 87.739935, 84.912255, 84.912255, 82.80313500000001, 87.739935, 89.78667]","[-33.4364, -35.28328, -35.28328, -35.768309, -35.768309, -34.074108, -34.074108, -35.470519, -35.768309, -42.815135]"
Ara,"[252.4464, 254.65509, 254.65509, 261.324975, 261.324975, 262.96042500000004, 254.65509, 254.89603499999998, 261.34858499999996, 262.77477]","[-59.041378, -55.990141, -55.990141, -55.529884, -55.529884, -49.876145, -55.990141, -53.160438, -56.377727, -60.683848]"
Crux,"[186.649665, 187.791435, 191.930385, 183.786405]","[-63.099092, -57.113212, -59.688764, -58.748928]"
Centaurus,"[219.90519, 210.955935, 210.955935, 204.97194000000002, 204.97194000000002, 208.885005, 208.885005, 218.87679, 218.87679, 211.670925, 211.670925, 200.14944, 200.14944, 190.379565, 190.379565, 187.009965, 187.009965, 182.08965, 182.08965, 170.25175499999997, 170.25175499999997, 173.945445, 204.97194000000002, 190.379565]","[-60.8383, -60.373039, -60.373039, -53.466394, -53.466394, -47.288375, -47.288375, -42.157824, -42.157824, -36.369954, -36.369954, -36.712295, -36.712295, -48.959888, -48.959888, -50.230635, -50.230635, -50.722425, -50.722425, -54.491019, -54.491019, -63.019841, -53.466394, -48.959888]"
