name,ra,dec
Tortoise,"[259.764825, 263.91498, 263.91498, 265.09914000000003, 265.09914000000003, 262.96042500000004, 262.96042500000004, 257.911155]","[-46.636235, -46.505684, -46.505684, -49.415587, -49.415587, -49.876145, -49.876145, -48.873399]"
Celestial River,"[262.85397, 261.59256, 261.59256, 260.502405, 260.502405, 258.83754]","[-23.962643, -24.175309, -24.175309, -24.999545, -24.999545, -26.602829]"
Fu Yue,"[267.464475, 267.464475]","[-37.043304, -37.043304]"
Fish,"[268.47822, 268.47822]","[-34.752721, -34.752721]"
Winnowing Basket,"[271.452045, 275.24850000000004, 275.24850000000004, 276.04302, 276.04302, 274.406895]","[-30.424091, -29.828103, -29.828103, -34.384616, -34.384616, -36.761686]"
Pestle (In Winnowing Basket Mansion),"[277.98426, 276.74341499999997, 276.74341499999997, 277.207575]","[-43.507383, -45.968459, -45.968459, -49.070588]"
Chaff,"[271.20993, 271.20993]","[-35.901442, -35.901442]"
Dipper,"[273.44088, 276.992685, 276.992685, 281.4141, 281.4141, 283.81635, 283.81635, 286.73505, 286.73505, 285.65297999999996]","[-21.058834, -25.4217, -25.4217, -26.990778, -26.990778, -26.296722, -26.296722, -27.670423, -27.670423, -29.880105]"
Establishment,"[284.432505, 286.17075, 286.17075, 287.440965, 287.440965, 289.40866500000004, 289.40866500000004, 290.418165, 290.418165, 290.431755]","[-21.106654, -21.741496, -21.741496, -21.023615, -21.023615, -18.952908, -18.952908, -17.847197, -17.847197, -15.955018]"
Market Officer,"[285.884385, 287.46498, 287.46498, 286.56225, 286.56225, 285.72708, 285.72708, 285.42012, 285.42012, 284.265285, 284.265285, 282.74379, 282.74379, 280.568445, 280.568445, 278.80177499999996]","[1.818768, -0.428114, -0.428114, -4.882554, -4.882554, -3.698987, -3.698987, -5.739115, -5.739115, -5.846314, -5.846314, -9.774096, -9.774096, -9.052549, -9.052549, -8.244073]"
River Turtle,"[287.368035, 286.60456500000004, 286.60456500000004, 284.680815, 284.680815, 284.16873, 284.16873, 280.94559, 280.94559, 278.34639, 278.34639, 278.08885499999997, 278.08885499999997, 278.375745, 278.375745, 279.89652, 279.89652, 282.21036, 282.21036, 284.07066000000003, 284.07066000000003, 285.77860499999997, 285.77860499999997, 287.08734, 287.08734, 287.50731, 287.50731, 287.368035]","[-37.904474, -37.063437, -37.063437, -37.107357, -37.107357, -37.343241, -37.343241, -38.323441, -38.323441, -38.725985, -38.725985, -39.704001, -39.704001, -42.31251, -42.31251, -43.185878, -43.185878, -43.680047, -43.680047, -42.710676, -42.710676, -42.095105, -42.095105, -40.496703, -40.496703, -39.340796, -39.340796, -37.904474]"
Celestial Cock,"[295.62972, 298.050015]","[-16.123996, -19.044991]"
Celestial Keyhole,"[269.66271, 269.174325, 269.174325, 268.72518, 268.72518, 269.948145, 269.948145, 272.93055, 272.93055, 275.380695, 275.380695, 274.51329, 274.51329, 272.02074, 272.02074, 269.66271]","[-28.759089, -28.065394, -28.065394, -24.887095, -24.887095, -23.816133, -23.816133, -23.701235, -23.701235, -24.915276, -24.915276, -27.042641, -27.042641, -28.457093, -28.457093, -28.759089]"
Dog,"[294.17679, 291.318705]","[-24.883623, -24.508575]"
Territory of Dog,"[298.959765, 299.73832500000003, 299.73832500000003, 300.66448499999996, 300.66448499999996, 299.2368, 299.2368, 298.959765]","[-26.299506, -26.195767, -26.195767, -27.709845, -27.709845, -27.169899, -27.169899, -26.299506]"
